сокол	со́ко́л
соколы	со́ко́лы
сокола	со́ко́ла
соколов	со́ко́лов
соколу	со́ко́лу
соколам	со́ко́лам
соколом	со́ко́лом
соколами	со́ко́лами
соколе	со́ко́ле
соколах	со́ко́лах
заговор	за́гово́р
заговоры	за́гово́ры
заговора	за́гово́ра
заговоров	за́гово́ров
заговору	за́гово́ру
заговорам	за́гово́рам
заговором	за́гово́ром
заговорами	за́гово́рами
заговоре	за́гово́ре
заговорах	за́гово́рах
авгур	а́вгу́р
авгуры	а́вгу́ры
авгура	а́вгу́ра
авгуров	а́вгу́ров
авгуру	а́вгу́ру
авгурам	а́вгу́рам
авгуром	а́вгу́ром
авгурами	а́вгу́рами
авгуре	а́вгу́ре
авгурах	а́вгу́рах
балую	ба́лу́ю
балуем	ба́лу́ем
балуешь	ба́лу́ешь
балуете	ба́лу́ете
балует	ба́лу́ет
балуют	ба́лу́ют
баловал	ба́лова́л
баловали	ба́лова́ли
баловала	ба́лова́ла
баловало	ба́лова́ло
балуй	ба́лу́й
балуйте	ба́лу́йте
балующий	ба́лу́ющий
баловавший	ба́лова́вший
балуемый	ба́лу́емый
балованный	ба́ло́ванный
балуя	ба́лу́я
баловав	ба́лова́в
баловавши	ба́лова́вши
грязны	гря́зны́
дало	да́ло́
жило	жи́ло́
мышление	мы́шле́ние
мышления	мы́шле́ния
мышлений	мы́шле́ний
мышлению	мы́шле́нию
мышлениям	мы́шле́ниям
мышлением	мы́шле́нием
мышлениями	мы́шле́ниями
мышлении	мы́шле́нии
мышлениях	мы́шле́ниях
просты	про́сты́
омбудсмен	о́мбудсме́н
омбудсмены	о́мбудсме́ны
омбудсмена	о́мбудсме́на
омбудсменов	о́мбудсме́нов
омбудсмену	о́мбудсме́ну
омбудсменам	о́мбудсме́нам
омбудсменом	о́мбудсме́ном
омбудсменами	о́мбудсме́нами
омбудсмене	о́мбудсме́не
омбудсменах	о́мбудсме́нах
плыло	плы́ло́
холодны^△	хо́лодны́^△
ровны	ро́вны́
воздух	во́зду́х
воздухи	во́зду́хи
воздуха	во́зду́ха
воздухов	во́зду́хов
воздуху	во́зду́ху
воздухам	во́зду́хам
воздухом	во́зду́хом
воздухами	во́зду́хами
воздухе	во́зду́хе
воздухах	во́зду́хах
ценнее	це́нне́е
ценней	це́нне́й
поценнее	поце́нне́е
поценней	поце́нне́й
бедны	бе́дны́
скудны	ску́дны́
вкусны	вку́сны́
ала	а́ла́
точны	то́чны́
передал	пе́реда́л
передали	пе́реда́ли
передало	пе́реда́ло
страшны	стра́шны́
важны	ва́жны́
августовский	а́вгусто́вский
августовское	а́вгусто́вское
августовская	а́вгусто́вская
августовские	а́вгусто́вские
августовского	а́вгусто́вского
августовской	а́вгусто́вской
августовских	а́вгусто́вских
августовскому	а́вгусто́вскому
августовским	а́вгусто́вским
августовскую	а́вгусто́вскую
августовскою	а́вгусто́вскою
августовскими	а́вгусто́вскими
августовском	а́вгусто́вском
сочны	со́чны́
байопик	ба́йо́пик
байопики	ба́йо́пики
байопика	ба́йо́пика
байопиков	ба́йо́пиков
байопику	ба́йо́пику
байопикам	ба́йо́пикам
байопиком	ба́йо́пиком
байопиками	ба́йо́пиками
байопике	ба́йо́пике
байопиках	ба́йо́пиках
жадны	жа́дны́
мрачны	мра́чны́
фронтиспис	фронти́спи́с
фронтисписы	фронти́спи́сы
фронтисписа	фронти́спи́са
фронтисписов	фронти́спи́сов
фронтиспису	фронти́спи́су
фронтисписам	фронти́спи́сам
фронтисписом	фронти́спи́сом
фронтисписами	фронти́спи́сами
фронтисписе	фронти́спи́се
фронтисписах	фронти́спи́сах
девица	де́ви́ца
девицы	де́ви́цы
девиц	де́ви́ц
девице	де́ви́це
девицам	де́ви́цам
девицу	де́ви́цу
девицей	де́ви́цей
девицею	де́ви́цею
девицами	де́ви́цами
девицах	де́ви́цах
августа	А́вгу́ста
августы	А́вгу́сты
август	А́вгу́ст
августе	А́вгу́сте
августам	А́вгу́стам
августу	А́вгу́сту
августой	А́вгу́стой
августою	А́вгу́стою
августами	А́вгу́стами
августах	А́вгу́стах
звучны	зву́чны́
тауматауакатангиангакоауауотаматеатурипукакапикимаунгахоронукупокануэнуакѝтанатаху	Та́умата́уаката́нгиангакоа́уауотамате́атурипука́капикима́унгахорону́купокануэ́нуакѝтаната́ху
лился	ли́лся́
лились	ли́ли́сь
лилось	ли́ло́сь
взяло	взя́ло́
связи	свя́зи́
хвалящий	хва́ля́щий
слыло	слы́ло́
апанасенковец	апана́сенко́вец
апанасенковцы	апана́сенко́вцы
апанасенковца	апана́сенко́вца
апанасенковцев	апана́сенко́вцев
апанасенковцу	апана́сенко́вцу
апанасенковцам	апана́сенко́вцам
апанасенковцем	апана́сенко́вцем
апанасенковцами	апана́сенко́вцами
апанасенковце	апана́сенко́вце
апанасенковцах	апана́сенко́вцах
арнемец	а́рне́мец
арнемцы	а́рне́мцы
арнемца	а́рне́мца
арнемцев	а́рне́мцев
арнемцу	а́рне́мцу
арнемцам	а́рне́мцам
арнемцем	а́рне́мцем
арнемцами	а́рне́мцами
арнемце	а́рне́мце
арнемцах	а́рне́мцах
нежны	не́жны́
дивчина	ди́вчи́на
дивчины	ди́вчи́ны
дивчин	ди́вчи́н
дивчине	ди́вчи́не
дивчинам	ди́вчи́нам
дивчину	ди́вчи́ну
дивчиной	ди́вчи́ной
дивчиною	ди́вчи́ною
дивчинами	ди́вчи́нами
дивчинах	ди́вчи́нах
честны	че́стны́
стюард	стю́а́рд
стюарды	стю́а́рды
стюарда	стю́а́рда
стюардов	стю́а́рдов
стюарду	стю́а́рду
стюардам	стю́а́рдам
стюардом	стю́а́рдом
стюардами	стю́а́рдами
стюарде	стю́а́рде
стюардах	стю́а́рдах
роженица	роже́ни́ца
роженицы	роже́ни́цы
рожениц	роже́ни́ц
роженице	роже́ни́це
роженицам	роже́ни́цам
роженицу	роже́ни́цу
роженицей	роже́ни́цей
роженицею	роже́ни́цею
роженицами	роже́ни́цами
роженицах	роже́ни́цах
вился	ви́лся́
вились	ви́ли́сь
вилось	ви́ло́сь
кислы	ки́слы́
верны	ве́рны́
крупны	кру́пны́
хламидомонада	хлами́домона́да
хламидомонады	хлами́домона́ды
хламидомонад	хлами́домона́д
хламидомонаде	хлами́домона́де
хламидомонадам	хлами́домона́дам
хламидомонаду	хлами́домона́ду
хламидомонадой	хлами́домона́дой
хламидомонадою	хлами́домона́дою
хламидомонадами	хлами́домона́дами
хламидомонадах	хлами́домона́дах
билефельдец	би́лефе́льдец
билефельдцы	би́лефе́льдцы
билефельдца	би́лефе́льдца
билефельдцев	би́лефе́льдцев
билефельдцу	би́лефе́льдцу
билефельдцам	би́лефе́льдцам
билефельдцем	би́лефе́льдцем
билефельдцами	би́лефе́льдцами
билефельдце	би́лефе́льдце
билефельдцах	би́лефе́льдцах
едка	е́дка́
кожанка	ко́жа́нка
кожанки	ко́жа́нки
кожанок	ко́жа́нок
кожанке	ко́жа́нке
кожанкам	ко́жа́нкам
кожанку	ко́жа́нку
кожанкой	ко́жа́нкой
кожанкою	ко́жа́нкою
кожанками	ко́жа́нками
кожанках	ко́жа́нках
бетель	бе́те́ль
бетели	бе́те́ли
бетеля	бе́те́ля
бетелей	бе́те́лей
бетелю	бе́те́лю
бетелям	бе́те́лям
бетелем	бе́те́лем
бетелями	бе́те́лями
бетеле	бе́те́ле
бетелях	бе́те́лях
борнхольмец	бо́рнхо́льмец
борнхольмцы	бо́рнхо́льмцы
борнхольмца	бо́рнхо́льмца
борнхольмцев	бо́рнхо́льмцев
борнхольмцу	бо́рнхо́льмцу
борнхольмцам	бо́рнхо́льмцам
борнхольмцем	бо́рнхо́льмцем
борнхольмцами	бо́рнхо́льмцами
борнхольмце	бо́рнхо́льмце
борнхольмцах	бо́рнхо́льмцах
видны	ви́дны́
дрались	дра́ли́сь
дралось	дра́ло́сь
ясны	я́сны́
статнее	ста́тне́е
статней	ста́тне́й
постатнее	поста́тне́е
постатней	поста́тне́й
сложны	сло́жны́
коконник	ко́ко́нник
коконники	ко́ко́нники
коконника	ко́ко́нника
коконников	ко́ко́нников
коконнику	ко́ко́ннику
коконникам	ко́ко́нникам
коконником	ко́ко́нником
коконниками	ко́ко́нниками
коконнике	ко́ко́ннике
коконниках	ко́ко́нниках
обнял	о́бня́л
обняли	о́бня́ли
обняло	о́бня́ло
удалы	уда́лы́
община	о́бщи́на
общины	о́бщи́ны
общин	о́бщи́н
общине	о́бщи́не
общинам	о́бщи́нам
общину	о́бщи́ну
общиной	о́бщи́ной
общиною	о́бщи́ною
общинами	о́бщи́нами
общинах	о́бщи́нах
пробил	про́би́л
пробили	про́би́ли
пробило	про́би́ло
пробитый	про́би́тый
бронзирование	бронзи́рова́ние
бронзирования	бронзи́рова́ния
бронзирований	бронзи́рова́ний
бронзированию	бронзи́рова́нию
бронзированиям	бронзи́рова́ниям
бронзированием	бронзи́рова́нием
бронзированиями	бронзи́рова́ниями
бронзировании	бронзи́рова́нии
бронзированиях	бронзи́рова́ниях
шумны	шу́мны́
коричневее	кори́чневе́е
коричневей	кори́чневе́й
покоричневее	покори́чневе́е
покоричневей	покори́чневе́й
бушприт	бу́шпри́т
бушприты	бу́шпри́ты
бушприта	бу́шпри́та
бушпритов	бу́шпри́тов
бушприту	бу́шпри́ту
бушпритам	бу́шпри́там
бушпритом	бу́шпри́том
бушпритами	бу́шпри́тами
бушприте	бу́шпри́те
бушпритах	бу́шпри́тах
поддался	подда́лся́
поддались	подда́ли́сь
поддалось	подда́ло́сь
колледж	ко́лле́дж
колледжи	ко́лле́джи
колледжа	ко́лле́джа
колледжей	ко́лле́джей
колледжу	ко́лле́джу
колледжам	ко́лле́джам
колледжем	ко́лле́джем
колледжами	ко́лле́джами
колледже	ко́лле́дже
колледжах	ко́лле́джах
абвер	а́бве́р
абверы	а́бве́ры
абвера	а́бве́ра
абверов	а́бве́ров
абверу	а́бве́ру
абверам	а́бве́рам
абвером	а́бве́ром
абверами	а́бве́рами
абвере	а́бве́ре
абверах	а́бве́рах
кобольд	ко́бо́льд
кобольды	ко́бо́льды
кобольда	ко́бо́льда
кобольдов	ко́бо́льдов
кобольду	ко́бо́льду
кобольдам	ко́бо́льдам
кобольдом	ко́бо́льдом
кобольдами	ко́бо́льдами
кобольде	ко́бо́льде
кобольдах	ко́бо́льдах
олениха	оле́ни́ха
оленихи	оле́ни́хи
олених	оле́ни́х
оленихе	оле́ни́хе
оленихам	оле́ни́хам
олениху	оле́ни́ху
оленихой	оле́ни́хой
оленихою	оле́ни́хою
оленихами	оле́ни́хами
оленихах	оле́ни́хах
чезаре	Че́за́ре
обрезание	обре́за́ние
обрезания	обре́за́ния
обрезаний	обре́за́ний
обрезанию	обре́за́нию
обрезаниям	обре́за́ниям
обрезанием	обре́за́нием
обрезаниями	обре́за́ниями
обрезании	обре́за́нии
обрезаниях	обре́за́ниях
чардаш	ча́рда́ш
чардаши	ча́рда́ши
чардаша	ча́рда́ша
чардашей	ча́рда́шей
чардашу	ча́рда́шу
чардашам	ча́рда́шам
чардашем	ча́рда́шем
чардашами	ча́рда́шами
чардаше	ча́рда́ше
чардашах	ча́рда́шах
дервиш	де́рви́ш
дервиши	де́рви́ши
дервиша	де́рви́ша
